Roll_no,Name,Dropout_Probability,Dropout_Probability_Percentage,Risk_Level,Risk_Score,attendance_percentage,fee_paid_ratio,total_failed_attempts,avg_all_marks,subjects_with_failures,payment_delay_days,marks_below_40,failure_rate,low_attendance,very_low_attendance,Recommendations
70,Parinaaz Dutt,0.32113095238095235,32.11,Low Risk,1,30.0,0.657,6,54.952,3,-5,6,0.286,1,1,No immediate action required
71,Anika Divan,0.6422222410079679,64.22,Medium Risk,2,46.667,0.789,8,43.857,5,11,8,0.381,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
72,Ritvik Bajwa,0.502284662736421,50.23,Medium Risk,2,36.667,0.7,10,49.095,5,-148,10,0.476,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
73,Pari Kamdar,0.5077150656668239,50.77,Medium Risk,2,33.333,0.323,6,60.19,4,-190,6,0.286,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
74,Advik Loke,0.6929589117446388,69.3,Medium Risk,2,60.0,0.207,11,44.619,5,-121,11,0.524,1,0,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
75,Anahi Mann,0.388763197586727,38.88,Low Risk,1,56.667,0.918,7,57.714,6,-63,7,0.333,1,1,No immediate action required
76,Mamooty Bains,0.5114279896189955,51.14,Medium Risk,2,50.0,0.858,9,48.238,6,-144,9,0.429,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
77,Ranbir Sharma,0.6456474330094167,64.56,Medium Risk,2,50.0,0.41,9,49.857,5,-21,9,0.429,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
78,Himmat Saini,0.5853985945642756,58.54,Medium Risk,2,43.333,0.241,9,50.952,5,-74,9,0.429,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
79,Mahika Bajaj,0.6841270029127299,68.41,Medium Risk,2,43.333,0.062,7,47.857,6,-220,7,0.333,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
80,Pari Korpal,0.6193623827176771,61.94,Medium Risk,2,46.667,0.124,10,47.952,6,-54,10,0.476,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
81,Keya Majumdar,0.5508509321477607,55.09,Medium Risk,2,46.667,0.897,10,43.476,6,-165,10,0.476,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
82,Samaira Sidhu,0.5853985945642756,58.54,Medium Risk,2,43.333,0.709,11,47.238,5,-27,11,0.524,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
83,Tiya Kalla,0.5325410729928313,53.25,Medium Risk,2,66.667,0.41,8,49.952,5,-241,8,0.381,1,0,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
84,Samaira Mangat,0.4430682743182744,44.31,Low Risk,1,60.0,0.59,9,55.0,6,-21,9,0.429,1,0,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
85,Mahika Singh,0.9428571428571428,94.29,High Risk,3,56.667,0.313,13,32.667,7,131,13,0.619,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required; Payment discipline needed
86,Yashvi Chopra,0.8084126984126984,80.84,High Risk,3,53.333,0.495,13,37.095,7,-66,13,0.619,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required
87,Riaan Doctor,0.4775137063372357,47.75,Low Risk,1,46.667,0.985,7,50.19,4,-193,7,0.333,1,1,Monitor attendance regularly; Focus on academic improvement
88,Himmat Dugar,0.6510541498398769,65.11,Medium Risk,2,53.333,0.148,6,52.524,6,-115,6,0.286,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
89,Mishti Dhar,0.5508509321477607,55.09,Medium Risk,2,43.333,0.899,8,49.81,6,34,8,0.381,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
90,Vidur Upadhyay,0.531116694092912,53.11,Medium Risk,2,43.333,0.923,8,53.095,5,81,8,0.381,1,1,Monitor attendance regularly; Focus on academic improvement
91,Rania Yogi,0.5508509321477607,55.09,Medium Risk,2,30.0,0.954,9,45.0,5,-30,9,0.429,1,1,Monitor attendance regularly; Focus on academic improvement
92,Prerak Sama,0.5281237281237281,52.81,Medium Risk,2,50.0,0.645,5,56.333,3,138,5,0.238,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
93,Rati Issac,0.7197855202506366,71.98,High Risk,3,50.0,0.726,12,38.095,6,-98,12,0.571,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required
94,Shaan Rajagopalan,0.5853985945642756,58.54,Medium Risk,2,30.0,0.579,10,41.429,6,-161,10,0.476,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
95,Kiaan Bala,0.5853985945642756,58.54,Medium Risk,2,56.667,0.103,6,59.286,6,-89,6,0.286,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
96,Gatik Som,0.5508509321477607,55.09,Medium Risk,2,46.667,0.915,8,50.238,4,139,8,0.381,1,1,Monitor attendance regularly; Focus on academic improvement
97,Abram Karpe,0.5325410729928313,53.25,Medium Risk,2,43.333,0.976,10,46.333,5,40,10,0.476,1,1,Monitor attendance regularly; Focus on academic improvement
98,Faiyaz Sachar,0.7044973732831002,70.45,High Risk,3,33.333,0.041,8,44.333,6,-30,8,0.381,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required
99,Miraya Mangal,0.7000053004704168,70.0,High Risk,3,50.0,0.057,8,51.952,6,48,8,0.381,1,1,Improve attendance immediately; Clear pending fees; Academic counseling required; Payment discipline needed
100,Eshani Kota,0.4966894246411829,49.67,Low Risk,1,56.667,0.673,8,52.381,6,-250,8,0.381,1,1,Monitor attendance regularly; Ensure fee payments are timely; Focus on academic improvement
